instance_class,IBS_forward_bound,IBS_forward_idle,IBS_forward_alpha
20_5,1.25,9.588448863882608,3.8103694042090033,0.9093978731578851
20_10,0.75,10.564428569518132,1.721269287269709,1.2705157343125537
20_20,0.75,6.504297546477612,2.495172754641639,1.4414124723822845
50_5,0.75,10.655573557435172,6.217436903111495,0.630824400284657
50_10,1.04,13.450819286104291,3.4236378375729353,1.6566158333037726
50_20,1.48,11.18893225813547,2.550268652108547,1.7325467690884757
100_5,0.3,7.547595326854447,8.700384258442536,-0.0009816032293560872
100_10,0.57,11.830958330304648,3.956090900774645,0.06192674831594859
100_20,1.14,12.06533291478633,1.710345642242567,0.5791959760691117
200_10,-0.61,11.780704146250752,5.082212331613894,-0.9166631216671849
200_20,-0.76,14.035869821234638,0.382176586983282,-1.287694932530335
500_20,-1.87,16.40925287869047,0.7463824072890909,-2.3907340662412393
