instance_class,IBS_bi_min_walpha,IBS_bi_min_gap,VBIH_primal_30,wilcoxon_best
100_20,0.5552273336625769,1.920639633426373,0.3051908471874167,-
100_40,1.6556661345616628,5.57432712073505,0.5170522035809823,VBIH_primal_30
100_60,3.035498898014443,6.594334159664099,0.6456066382002803,VBIH_primal_30
200_20,1.0837583886137385,0.7193574209037801,0.22241899554909175,-
200_40,0.06910738427013477,5.467823088635018,0.5674714399719291,IBS_bi_min_walpha
200_60,1.5209116863858125,7.447143427655216,0.6101551569358616,VBIH_primal_30
300_20,1.2036815385725075,0.11597501452310792,0.2140170553129015,-
300_40,-0.5995224918649207,5.412538722427181,0.527808161859005,IBS_bi_min_walpha
300_60,0.6556986596133546,7.758603876829248,0.6591013467045684,-
400_20,0.9121979300935508,-0.009761813559344351,0.15865521891859374,-
400_40,-0.842930211797084,5.810277623198979,0.4723848608191158,IBS_bi_min_walpha
400_60,-0.10823520566428009,8.044730479882668,0.5782959038956601,IBS_bi_min_walpha
500_20,0.9067947661721147,-0.041980789146110045,0.12529129751829018,-
500_40,-0.6571798832450111,5.121182650117867,0.5471719657890977,IBS_bi_min_walpha
500_60,-0.605568090789171,7.916923435825451,0.4089025047534277,IBS_bi_min_walpha
600_20,0.8933404357282146,-0.1020676065275264,0.12259226133732368,IBS_bi_min_gap
600_40,-0.517632054711842,4.825869294147456,0.4984188767915835,IBS_bi_min_walpha
600_60,-1.0091203098602488,7.381682607337341,0.6382779162867284,IBS_bi_min_walpha
700_20,1.0065768398741444,-0.1134404721351493,0.09689098277020106,IBS_bi_min_gap
700_40,-0.39203744197428364,4.139656058085409,0.42020358149401815,IBS_bi_min_walpha
700_60,-1.2003510596170872,7.695136504767083,0.5556248540782552,IBS_bi_min_walpha
800_20,0.8205389946896965,-0.07930413020585128,0.06938175354559739,IBS_bi_min_gap
800_40,-0.3835066118089867,3.991853718292215,0.3173979083426438,IBS_bi_min_walpha
800_60,-1.2892722558906975,7.764008165845738,0.4069512892688625,IBS_bi_min_walpha
