instance_class,IBS_bi_min_walpha,IBS_bi_min_gap
100_20,0.56,0.42585955326406816,1.8754923124220901
100_40,0.66,1.4321642700173005,5.285153727672244
100_60,0.62,2.7509288228929796,6.147241392129315
200_20,0.47,1.0312633488962017,0.5528544196239633
200_40,0.71,-0.1611828660200845,5.121943672961547
200_60,0.73,1.485247868338575,7.447143427655216
300_20,0.39,1.2036815385725075,0.09916515273752705
300_40,0.64,-0.5995224918649207,5.412538722427181
300_60,0.73,0.6556986596133546,7.758603876829248
400_20,0.23,0.8565270512070711,-0.07499083757437888
400_40,0.56,-0.9297195475234279,5.312808278207651
400_60,0.6,-0.19208428003352898,8.044730479882668
500_20,0.19,0.9067947661721147,-0.14449043661193614
500_40,0.5,-0.6780009218592828,4.907138734210007
500_60,0.53,-0.7914356725733053,7.682873165192914
600_20,0.16,0.8933404357282146,-0.1020676065275264
600_40,0.46,-0.517632054711842,4.825869294147456
600_60,0.51,-1.0091203098602488,7.381682607337341
700_20,0.13,0.9752635475804039,-0.1134404721351493
700_40,0.45,-0.39203744197428364,4.139656058085409
700_60,0.49,-1.2003510596170872,7.695136504767083
800_20,0.13,0.7991942320229292,-0.09523973860229379
800_40,0.4,-0.4023543337726859,3.8989236698797805
800_60,0.45,-1.2892722558906975,7.764008165845738
