instance_class,IBS_bi_min_walpha,IBS_bi_min_gap,IGbob_30,wilcoxon_best
100_20,0.5552273336625769,1.920639633426373,0.6073701168703656,-
100_40,1.6556661345616628,5.57432712073505,0.7338796069378899,IGbob_30
100_60,3.035498898014443,6.594334159664099,0.8021758708066077,IGbob_30
200_20,1.0837583886137385,0.7193574209037801,0.44999662834846355,-
200_40,0.06910738427013477,5.467823088635018,0.8542863760117072,IBS_bi_min_walpha
200_60,1.821199506970092,7.84800329303836,0.7975829719700156,IGbob_30
300_20,1.2401411766247525,0.1252528656472265,0.4391925393541777,IBS_bi_min_gap
300_40,-0.5995224918649207,5.412538722427181,0.7341344382873212,IBS_bi_min_walpha
300_60,0.6556986596133546,7.758603876829248,0.7925992301496877,-
400_20,0.9121979300935508,-0.009290804186257795,0.2726885956074033,IBS_bi_min_gap
400_40,-0.842930211797084,5.810277623198979,0.6116115463137023,IBS_bi_min_walpha
400_60,0.06627485694201135,8.371856746037512,0.6387203666445431,IBS_bi_min_walpha
500_20,0.9067947661721147,-0.041980789146110045,0.20665413400606258,IBS_bi_min_gap
500_40,-0.6571798832450111,5.121182650117867,0.6043038671461876,IBS_bi_min_walpha
500_60,-0.605568090789171,7.916923435825451,0.45430295673618926,IBS_bi_min_walpha
600_20,0.9244658970497168,-0.08554130746507606,0.17137728149269443,IBS_bi_min_gap
600_40,-0.517632054711842,4.825869294147456,0.4029035453642512,IBS_bi_min_walpha
600_60,-1.0091203098602488,7.381682607337341,0.5469562865365281,IBS_bi_min_walpha
700_20,1.0065768398741444,-0.1134404721351493,0.12189876571677508,IBS_bi_min_gap
700_40,-0.36790126983420735,4.329039069521987,0.3864984377564953,IBS_bi_min_walpha
700_60,-1.0597423411196976,7.949438343191028,0.45107675218469784,IBS_bi_min_walpha
800_20,0.8205389946896965,-0.07930413020585128,0.10427006805512382,IBS_bi_min_gap
800_40,-0.3835066118089867,3.991853718292215,0.36103744605688337,IBS_bi_min_walpha
800_60,-1.1064109871837762,7.9357736233812926,0.45419702004139656,IBS_bi_min_walpha
