instance_class,IBS_bi_min_walpha,IBS_bi_min_gap,VBIH_primal_90,wilcoxon_best
100_20,0.42585955326406816,1.784544204333623,0.055427269423394473,-
100_40,1.3247050965654692,4.986885997316853,0.23685296579228252,VBIH_primal_90
100_60,2.548109023412807,5.7203177986161045,0.2942825257192076,VBIH_primal_90
200_20,0.9748818316456017,0.5528544196239633,0.09287480051820152,-
200_40,-0.2559106893031874,4.7471345658603665,0.24196714246752277,-
200_60,1.1862961549456794,7.058176736926842,0.29042314674224146,VBIH_primal_90
300_20,1.1546190040892077,0.008722896582243345,0.12188897457296262,-
300_40,-0.6906230811855372,5.11200080427132,0.31206637866569886,IBS_bi_min_walpha
300_60,0.4058580204110333,7.3398921943710675,0.3322120723675127,-
400_20,0.8330715884214763,-0.17479293207671456,0.04470199646512743,-
400_40,-1.0435422393254101,5.155159784886203,0.21078152906971934,IBS_bi_min_walpha
400_60,-0.4527077769704991,7.4236780076096025,0.19769875356366387,IBS_bi_min_walpha
500_20,0.8753049850485567,-0.14449043661193614,0.05237388941252215,-
500_40,-0.6885205034582791,4.907138734210007,0.29580479745606925,IBS_bi_min_walpha
500_60,-1.044831810260841,7.634990429036563,0.1459724967000115,IBS_bi_min_walpha
600_20,0.8669233450310043,-0.11804971890353815,0.07481664983457234,-
600_40,-0.5704700916499316,4.724289774044349,0.23479129797583517,IBS_bi_min_walpha
600_60,-1.1488008187088616,7.381682607337341,0.2670696070840793,IBS_bi_min_walpha
700_20,0.9538533113219829,-0.11838601501822058,0.04416925001384535,-
700_40,-0.4366808016689756,4.107563894146087,0.16859248981711336,IBS_bi_min_walpha
700_60,-1.378892989907432,7.455934452973233,0.30694042223729073,IBS_bi_min_walpha
800_20,0.7785576105098697,-0.10853249822739477,0.030072523129853635,-
800_40,-0.45818479455370487,3.8989236698797805,0.21801123620967475,IBS_bi_min_walpha
800_60,-1.4205076295856045,7.674652739455523,0.2801012228650381,IBS_bi_min_walpha
