instance_class,IBS_bi_min_walpha,IBS_bi_min_gap,VBIH_primal_60,wilcoxon_best
100_20,0.42585955326406816,1.784544204333623,0.2637738406486825,-
100_40,1.4321642700173005,5.285153727672244,0.45887312198028773,VBIH_primal_60
100_60,2.7509288228929796,6.147241392129315,0.5833024964114104,VBIH_primal_60
200_20,1.0312633488962017,0.5528544196239633,0.201989083910052,-
200_40,-0.1611828660200845,5.121943672961547,0.5231198395081911,IBS_bi_min_walpha
200_60,1.2293138831403243,7.279815670428597,0.5820814315118105,VBIH_primal_60
300_20,1.1546190040892077,0.008722896582243345,0.17470994388648214,-
300_40,-0.6906230811855372,5.11200080427132,0.48993562702500537,IBS_bi_min_walpha
300_60,0.4058580204110333,7.3398921943710675,0.6190955107774923,-
400_20,0.8565270512070711,-0.09045541079940565,0.1287827558767459,-
400_40,-0.9297195475234279,5.312808278207651,0.4329335420054129,IBS_bi_min_walpha
400_60,-0.24252086617739196,8.044730479882668,0.5414554687194125,IBS_bi_min_walpha
500_20,0.8753049850485567,-0.14449043661193614,0.11506418693150897,IBS_bi_min_gap
500_40,-0.6780009218592828,4.907138734210007,0.48926803208080116,IBS_bi_min_walpha
500_60,-0.7914356725733053,7.682873165192914,0.36728777807725177,IBS_bi_min_walpha
600_20,0.8669233450310043,-0.11804971890353815,0.10762776908927245,IBS_bi_min_gap
600_40,-0.5704700916499316,4.724289774044349,0.37578981012892454,IBS_bi_min_walpha
600_60,-1.1488008187088616,7.381682607337341,0.49968945542843934,IBS_bi_min_walpha
700_20,0.9752635475804039,-0.11838601501822058,0.0612350915761203,IBS_bi_min_gap
700_40,-0.4366808016689756,4.107563894146087,0.285448202725134,IBS_bi_min_walpha
700_60,-1.378892989907432,7.455934452973233,0.40690552989980044,IBS_bi_min_walpha
800_20,0.7991942320229292,-0.09765741666428306,0.0643140985362631,IBS_bi_min_gap
800_40,-0.4023543337726859,3.8989236698797805,0.2957872099341752,IBS_bi_min_walpha
800_60,-1.3653973749801707,7.764008165845738,0.3685499467046336,IBS_bi_min_walpha
