instance,best_known,IGrms,VBIH,GmysBB,IBS_forward_bound_primal,IBS_forward_bound_time_to_best_known,IBS_forward_bound_time_opt,IBS_bi_min_bound_primal,IBS_bi_min_bound_time_to_best_known,IBS_bi_min_bound_time_opt,IBS_forward_idle_primal,IBS_forward_idle_time_to_best_known,IBS_forward_idle_time_opt,IBS_bi_min_idle_primal,IBS_bi_min_idle_time_to_best_known,IBS_bi_min_idle_time_opt,IBS_forward_alpha_primal,IBS_forward_alpha_time_to_best_known,IBS_forward_alpha_time_opt,IBS_bi_min_alpha_primal,IBS_bi_min_alpha_time_to_best_known,IBS_bi_min_alpha_time_opt,IBS_forward_walpha_primal,IBS_forward_walpha_time_to_best_known,IBS_forward_walpha_time_opt,IBS_bi_min_walpha_primal,IBS_bi_min_walpha_time_to_best_known,IBS_bi_min_walpha_time_opt,IBS_forward_gap_primal,IBS_forward_gap_time_to_best_known,IBS_forward_gap_time_opt,IBS_bi_min_gap_primal,IBS_bi_min_gap_time_to_best_known,IBS_bi_min_gap_time_opt,IGbob_30_primal,IGbob_30_time_to_best_known,IGbob_30_time_opt,IGbob_45_primal,IGbob_45_time_to_best_known,IGbob_45_time_opt,IGbob_90_primal,IGbob_90_time_to_best_known,IGbob_90_time_opt
VFR400_40_4,23213,23405,23213,missing,26847,-,-,24834,-,-,24094,-,-,27975,-,-,24073,-,-,28408,-,-,27608,-,-,22893,2.7043378353118896,-,27698,-,-,24762,-,-,23343,-,-,23288,-,-,23255,-,-
VFR400_40_5,23220,23220,23298,missing,26797,-,-,24342,-,-,24016,-,-,27682,-,-,24074,-,-,27754,-,-,27475,-,-,22901,2.2779834270477295,-,27435,-,-,24563,-,-,23249,-,-,23228,-,-,23166,-,-
VFR400_40_6,23141,23141,23415,missing,26464,-,-,24288,-,-,23679,-,-,27695,-,-,23836,-,-,27164,-,-,27544,-,-,23034,71.52127075195312,-,27544,-,-,24456,-,-,23397,-,-,23373,-,-,23305,-,-
VFR400_40_7,23290,23292,23290,missing,26897,-,-,24467,-,-,24108,-,-,28364,-,-,24162,-,-,28318,-,-,27436,-,-,23157,17.935285568237305,-,27436,-,-,24672,-,-,23428,-,-,23434,-,-,23391,-,-
VFR400_40_8,23364,23364,23424,missing,26823,-,-,24346,-,-,23862,-,-,24033,-,-,24092,-,-,24035,-,-,27473,-,-,23012,2.233031988143921,-,27494,-,-,24207,-,-,23286,-,-,23302,-,-,23243,-,-
VFR400_40_9,23266,23266,23606,missing,26930,-,-,24410,-,-,23868,-,-,28509,-,-,24159,-,-,28317,-,-,27570,-,-,23265,292.2590637207031,-,27720,-,-,24507,-,-,23500,-,-,23504,-,-,23492,-,-
VFR400_40_10,23380,23457,23380,missing,26879,-,-,24606,-,-,24320,-,-,27031,-,-,24357,-,-,26957,-,-,27404,-,-,23278,72.1016616821289,-,27404,-,-,24597,-,-,23615,-,-,23589,-,-,23578,-,-
VFR400_60_1,25392,25392,25395,missing,29938,-,-,27535,-,-,26743,-,-,29849,-,-,27012,-,-,29894,-,-,29744,-,-,25214,51.26148986816406,-,29744,-,-,27437,-,-,25506,-,-,25467,-,-,25458,-,-
VFR400_60_2,25618,25618,25707,missing,30121,-,-,27585,-,-,26495,-,-,29947,-,-,26667,-,-,29852,-,-,29875,-,-,25436,210.5045166015625,-,29960,-,-,27475,-,-,25607,-,-,25575,-,-,25533,-,-
VFR400_60_3,25498,25498,25638,missing,30385,-,-,27638,-,-,26891,-,-,29133,-,-,26890,-,-,29883,-,-,29819,-,-,25516,-,-,29819,-,-,27751,-,-,25734,-,-,25685,-,-,25626,-,-
VFR400_60_4,25590,25590,25669,missing,30234,-,-,27303,-,-,26958,-,-,29637,-,-,26837,-,-,28856,-,-,30239,-,-,25554,835.98681640625,-,30127,-,-,27361,-,-,25738,-,-,25675,-,-,25683,-,-
VFR400_60_5,25407,25608,25407,missing,29834,-,-,27441,-,-,26410,-,-,30166,-,-,26528,-,-,30136,-,-,30060,-,-,25587,-,-,30060,-,-,27565,-,-,25721,-,-,25695,-,-,25636,-,-
VFR400_60_6,25415,25615,25415,missing,29762,-,-,27120,-,-,26346,-,-,29721,-,-,26267,-,-,29951,-,-,29646,-,-,25246,207.95738220214844,-,29646,-,-,26753,-,-,25420,-,-,25430,-,-,25331,-,-
VFR400_60_7,25358,25358,25603,missing,29874,-,-,27277,-,-,26805,-,-,30308,-,-,26803,-,-,30755,-,-,29622,-,-,25173,435.5461120605469,-,29603,-,-,27114,-,-,25462,-,-,25428,-,-,25410,-,-
VFR400_60_8,25372,25372,25673,missing,29837,-,-,27589,-,-,26449,-,-,30132,-,-,26809,-,-,30086,-,-,29905,-,-,25364,826.6395874023438,-,29905,-,-,27632,-,-,25672,-,-,25670,-,-,25616,-,-
VFR400_60_9,25541,25541,25658,missing,29661,-,-,27497,-,-,26623,-,-,30263,-,-,26864,-,-,29910,-,-,30101,-,-,25474,831.929931640625,-,30044,-,-,27443,-,-,25755,-,-,25722,-,-,25639,-,-
VFR400_60_10,25549,25622,25549,missing,30219,-,-,27784,-,-,26851,-,-,30304,-,-,27005,-,-,30445,-,-,29947,-,-,25494,832.367431640625,-,29947,-,-,27624,-,-,25706,-,-,25660,-,-,25626,-,-
VFR500_20_1,26253,26355,26374,26253,27433,-,-,26377,-,-,26507,-,-,27466,-,-,26577,-,-,27616,-,-,30228,-,-,26560,-,-,30287,-,-,26276,-,-,26397,-,-,26401,-,-,26380,-,-
VFR500_20_2,26043,26043,26359,26555,27930,-,-,26683,-,-,26850,-,-,27640,-,-,26815,-,-,27516,-,-,30608,-,-,26846,-,-,30607,-,-,26575,-,-,26665,-,-,26671,-,-,26620,-,-
VFR500_20_3,26080,26631,26080,26268,27456,-,-,26383,-,-,26649,-,-,26814,-,-,26651,-,-,26810,-,-,30294,-,-,26591,-,-,30291,-,-,26269,-,-,26378,-,-,26380,-,-,26363,-,-
VFR500_20_4,25994,26357,26759,25994,26935,-,-,26121,-,-,26319,-,-,27081,-,-,26374,-,-,27051,-,-,29531,-,-,26307,-,-,29531,-,-,25996,-,-,26082,-,-,26100,-,-,26086,-,-
VFR500_20_5,26058,26058,26411,26703,27762,-,-,26773,-,-,26903,-,-,27049,-,-,26903,-,-,27051,-,-,30422,-,-,27099,-,-,30495,-,-,26703,-,295.57623291015625,26747,-,-,26735,-,-,26733,-,-
VFR500_20_6,26325,26729,26409,26325,27574,-,-,26417,-,-,26734,-,-,27858,-,-,26906,-,-,27808,-,-,29865,-,-,26555,-,-,29865,-,-,26325,52.89511489868164,53.09699630737305,26408,-,-,26443,-,-,26428,-,-
VFR500_20_7,26305,26395,26305,26313,27422,-,-,26457,-,-,26635,-,-,26721,-,-,26713,-,-,26828,-,-,30169,-,-,26666,-,-,30032,-,-,26413,-,-,26415,-,-,26415,-,-,26401,-,-
VFR500_20_8,26217,26401,26430,26217,27355,-,-,26383,-,-,26489,-,-,26642,-,-,26409,-,-,26625,-,-,30096,-,-,26401,-,-,30068,-,-,26327,-,-,26305,-,-,26305,-,-,26305,-,-
VFR500_20_9,26034,26302,26034,26345,27652,-,-,26439,-,-,26813,-,-,27122,-,-,26809,-,-,27230,-,-,30274,-,-,26646,-,-,30274,-,-,26368,-,-,26457,-,-,26439,-,-,26416,-,-
VFR500_20_10,26345,26410,26641,26345,26980,-,-,26200,0.9967223405838013,-,26411,-,-,27665,-,-,26312,295.86260986328125,-,27404,-,-,29957,-,-,26292,8.469788551330566,-,29949,-,-,26024,0.09926826506853104,106.28292083740234,26065,-,-,26069,-,-,26052,-,-
VFR500_40_1,28362,28362,28402,missing,32792,-,-,30202,-,-,29448,-,-,29620,-,-,29521,-,-,29258,-,-,33085,-,-,28110,7.037445068359375,-,33083,-,-,30049,-,-,28434,-,-,28397,-,-,28367,-,-
VFR500_40_2,28526,28585,28526,missing,32346,-,-,29625,-,-,29223,-,-,33802,-,-,29490,-,-,33499,-,-,33612,-,-,28306,14.086627006530762,-,33542,-,-,29752,-,-,28660,-,-,28611,-,-,28574,-,-
VFR500_40_3,28503,28503,28615,missing,32818,-,-,29859,-,-,29150,-,-,31965,-,-,29516,-,-,32626,-,-,33556,-,-,28234,3.572305917739868,-,33571,-,-,29620,-,-,28536,-,-,28520,-,-,28436,-,-
VFR500_40_4,28374,28374,28579,missing,32314,-,-,30111,-,-,29182,-,-,32970,-,-,29162,-,-,33028,-,-,33237,-,-,28327,224.72825622558594,-,33237,-,-,29824,-,-,28656,-,-,28627,-,-,28562,-,-
VFR500_40_5,28432,28477,28432,missing,32765,-,-,29470,-,-,29391,-,-,32979,-,-,29563,-,-,32941,-,-,33196,-,-,28276,28.213708877563477,-,33196,-,-,29762,-,-,28615,-,-,28575,-,-,28530,-,-
VFR500_40_6,28543,28543,28553,missing,32511,-,-,29949,-,-,29021,-,-,33827,-,-,29083,-,-,33838,-,-,33359,-,-,28111,1.7244889736175537,-,33316,-,-,29535,-,-,28431,-,-,28390,-,-,28347,-,-
VFR500_40_7,28248,28248,28488,missing,32968,-,-,30034,-,-,29565,-,-,29258,-,-,29654,-,-,29176,-,-,33466,-,-,28294,-,-,33466,-,-,29900,-,-,28619,-,-,28605,-,-,28545,-,-
VFR500_40_8,28486,28486,28640,missing,33031,-,-,29709,-,-,29304,-,-,32340,-,-,29369,-,-,32400,-,-,33308,-,-,28305,28.126708984375,-,33308,-,-,30130,-,-,28503,-,-,28539,-,-,28481,-,-
VFR500_40_9,28435,28435,28644,missing,32548,-,-,30312,-,-,29339,-,-,33054,-,-,29308,-,-,33908,-,-,33584,-,-,28404,56.22274398803711,-,33617,-,-,30344,-,-,28696,-,-,28701,-,-,28629,-,-
VFR500_40_10,28613,28640,28613,missing,32354,-,-,29719,-,-,29115,-,-,33785,-,-,28972,-,-,33690,-,-,33453,-,-,28322,7.143674373626709,-,33453,-,-,29697,-,-,28675,-,-,28639,-,-,28592,-,-
VFR500_60_1,30609,30609,30682,missing,35982,-,-,33105,-,-,32492,-,-,36241,-,-,32452,-,-,36164,-,-,35548,-,-,30263,82.10821533203125,-,35548,-,-,33168,-,-,30677,-,-,30688,-,-,30683,-,-
VFR500_60_2,30828,30828,30852,missing,35684,-,-,32850,-,-,32212,-,-,35254,-,-,32349,-,-,35550,-,-,35788,-,-,30328,40.86418914794922,-,35601,-,-,32593,-,-,30700,-,-,30654,-,-,30623,-,-
VFR500_60_3,30597,30597,30793,missing,36113,-,-,33577,-,-,32931,-,-,36258,-,-,32974,-,-,36236,-,-,35931,-,-,30494,322.5695495605469,-,35931,-,-,33437,-,-,30910,-,-,30827,-,-,30775,-,-
VFR500_60_4,30763,30823,30763,missing,36283,-,-,33067,-,-,32275,-,-,35440,-,-,32424,-,-,35891,-,-,35840,-,-,30512,88.27236938476562,-,35909,-,-,32712,-,-,30868,-,-,30844,-,-,30817,-,-
VFR500_60_5,30788,30796,30788,missing,35937,-,-,33482,-,-,32263,-,-,36716,-,-,32435,-,-,35531,-,-,35694,-,-,30371,80.7502212524414,-,35694,-,-,33339,-,-,30827,-,-,30794,-,-,30751,-,-
VFR500_60_6,30700,30700,30826,missing,36370,-,-,33745,-,-,32308,-,-,35571,-,-,32445,-,-,35804,-,-,35801,-,-,30507,161.26919555664062,-,35801,-,-,33488,-,-,30938,-,-,30928,-,-,30836,-,-
VFR500_60_7,30829,30829,30837,missing,35783,-,-,33234,-,-,32835,-,-,35899,-,-,32921,-,-,35657,-,-,35828,-,-,30406,20.693477630615234,-,35828,-,-,32988,-,-,30826,-,-,30781,-,-,30715,-,-
VFR500_60_8,30733,30733,30805,missing,36406,-,-,33480,-,-,32531,-,-,37040,-,-,32720,-,-,36825,-,-,35702,-,-,30389,81.03357696533203,-,35812,-,-,32901,-,-,30816,-,-,30771,-,-,30751,-,-
VFR500_60_9,30729,30729,30866,missing,35468,-,-,33201,-,-,31931,-,-,35791,-,-,32630,-,-,35405,-,-,35906,-,-,30393,160.51113891601562,-,35906,-,-,33224,-,-,30852,-,-,30852,-,-,30754,-,-
VFR500_60_10,30664,30785,30664,missing,35894,-,-,32554,-,-,32244,-,-,35709,-,-,32440,-,-,36141,-,-,36000,-,-,30552,1292.3809814453125,-,36056,-,-,33044,-,-,30883,-,-,30854,-,-,30833,-,-
VFR600_20_1,31303,31359,31372,31303,32544,-,-,31402,-,-,31741,-,-,33209,-,-,31591,-,-,32740,-,-,35353,-,-,31523,-,-,35415,-,-,31303,44.554264068603516,52.190040588378906,31398,-,-,31381,-,-,31361,-,-
VFR600_20_2,31107,31107,31429,31281,32413,-,-,31553,-,-,31671,-,-,32944,-,-,31648,-,-,33381,-,-,35501,-,-,31684,-,-,35501,-,-,31281,-,369.3541259765625,31393,-,-,31389,-,-,31386,-,-
VFR600_20_3,31372,31372,31487,31374,32427,-,-,31492,-,-,31713,-,-,32396,-,-,31727,-,-,32622,-,-,35987,-,-,31670,-,-,35840,-,-,31374,-,24.917078018188477,31441,-,-,31421,-,-,31414,-,-
VFR600_20_4,31407,31412,31407,31417,32440,-,-,31653,-,-,31641,-,-,31826,-,-,31630,-,-,31832,-,-,35637,-,-,31679,-,-,35648,-,-,31440,-,-,31487,-,-,31507,-,-,31491,-,-
VFR600_20_5,31323,31480,31696,31323,32582,-,-,31509,-,-,31594,-,-,32163,-,-,31577,-,-,32056,-,-,35401,-,-,31657,-,-,35506,-,-,31476,-,-,31412,-,-,31403,-,-,31396,-,-
VFR600_20_6,31387,31387,31527,31613,32761,-,-,31839,-,-,32090,-,-,32253,-,-,32035,-,-,32306,-,-,35545,-,-,31973,-,-,35440,-,-,31613,-,165.65943908691406,31685,-,-,31693,-,-,31685,-,-
VFR600_20_7,31461,31668,31523,31461,32260,-,-,31498,-,-,32062,-,-,32947,-,-,31751,-,-,32688,-,-,35566,-,-,31885,-,-,35566,-,-,31461,81.10894775390625,81.79280853271484,31527,-,-,31527,-,-,31527,-,-
VFR600_20_8,31414,31483,31532,31414,32436,-,-,31503,-,-,31731,-,-,32743,-,-,31736,-,-,32943,-,-,35961,-,-,31700,-,-,35832,-,-,31425,-,-,31501,-,-,31492,-,-,31489,-,-
VFR600_20_9,31107,31465,31107,31473,32570,-,-,31533,-,-,31674,-,-,32539,-,-,31632,-,-,32219,-,-,35895,-,-,31931,-,-,35809,-,-,31477,-,-,31528,-,-,31528,-,-,31528,-,-
VFR600_20_10,31021,31514,31397,31021,32260,-,-,31131,-,-,31468,-,-,32309,-,-,31367,-,-,31952,-,-,35302,-,-,31264,-,-,35113,-,-,31021,16.49203872680664,16.64594268798828,31107,-,-,31113,-,-,31107,-,-
VFR600_40_1,33618,33618,33683,missing,38572,-,-,35160,-,-,34398,-,-,38023,-,-,34222,-,-,37680,-,-,39235,-,-,33337,5.240882873535156,-,39075,-,-,35264,-,-,33703,-,-,33620,-,-,33598,-,-
VFR600_40_2,33396,33396,33713,missing,37279,-,-,34777,-,-,34441,-,-,40016,-,-,34241,-,-,39855,-,-,38851,-,-,33155,5.0782575607299805,-,38851,-,-,34765,-,-,33423,-,-,33386,-,-,33362,-,-
VFR600_40_3,33356,33356,33584,missing,38297,-,-,35378,-,-,34646,-,-,37504,-,-,34545,-,-,39889,-,-,39010,-,-,33404,-,-,39010,-,-,35364,-,-,33680,-,-,33660,-,-,33591,-,-
VFR600_40_4,33401,33612,33401,missing,38264,-,-,35054,-,-,34227,-,-,37913,-,-,34067,-,-,37770,-,-,39017,-,-,33231,10.233983039855957,-,39017,-,-,34777,-,-,33592,-,-,33574,-,-,33522,-,-
VFR600_40_5,33477,33477,33626,missing,37658,-,-,34963,-,-,34083,-,-,39462,-,-,34599,-,-,39694,-,-,38471,-,-,33157,2.5283913612365723,-,38723,-,-,34809,-,-,33355,-,-,33325,-,-,33307,-,-
VFR600_40_6,33307,33307,33545,missing,38002,-,-,35281,-,-,34178,-,-,38756,-,-,34165,-,-,39209,-,-,39057,-,-,33420,-,-,39057,-,-,35006,-,-,33679,-,-,33657,-,-,33598,-,-
VFR600_40_7,33298,33552,33298,missing,38459,-,-,35375,-,-,34649,-,-,40053,-,-,34759,-,-,39760,-,-,38653,-,-,33320,-,-,38653,-,-,35204,-,-,33588,-,-,33536,-,-,33502,-,-
VFR600_40_8,33492,33492,33567,missing,38320,-,-,35104,-,-,34046,-,-,38063,-,-,34164,-,-,38117,-,-,38572,-,-,33052,1.2133733034133911,-,38572,-,-,34590,-,-,33400,-,-,33366,-,-,33303,-,-
VFR600_40_9,33282,33282,33473,missing,38265,-,-,35141,-,-,34176,-,-,39374,-,-,34087,-,-,39301,-,-,38914,-,-,33268,81.08695983886719,-,38914,-,-,35346,-,-,33530,-,-,33492,-,-,33445,-,-
VFR600_40_10,33405,33422,33405,missing,37873,-,-,35164,-,-,34300,-,-,39425,-,-,34293,-,-,39446,-,-,38741,-,-,33257,20.346574783325195,-,38741,-,-,35186,-,-,33511,-,-,33462,-,-,33417,-,-
VFR600_60_1,35863,35863,35976,missing,42190,-,-,39153,-,-,37148,-,-,37558,-,-,37312,-,-,37714,-,-,42027,-,-,35450,29.200611114501953,-,42027,-,-,38094,-,-,35996,-,-,35939,-,-,35867,-,-
VFR600_60_2,35804,35804,35917,missing,41824,-,-,38279,-,-,37471,-,-,42313,-,-,37702,-,-,42062,-,-,41585,-,-,35450,58.708003997802734,-,41585,-,-,38503,-,-,35896,-,-,35863,-,-,35796,-,-
VFR600_60_3,35791,35791,36000,missing,41903,-,-,38397,-,-,37295,-,-,41692,-,-,37429,-,-,42214,-,-,41827,-,-,35584,234.11846923828125,-,41827,-,-,38501,-,-,36074,-,-,36009,-,-,35958,-,-
VFR600_60_4,35896,35896,36004,missing,42042,-,-,38943,-,-,37545,-,-,42590,-,-,37886,-,-,42535,-,-,41343,-,-,35454,29.12543487548828,-,41343,-,-,38457,-,-,35957,-,-,35946,-,-,35855,-,-
VFR600_60_5,35883,35883,35943,missing,42383,-,-,38529,-,-,38019,-,-,41425,-,-,38026,-,-,40267,-,-,41534,-,-,35466,58.14647674560547,-,41534,-,-,38104,-,-,35991,-,-,35990,-,-,35888,-,-
VFR600_60_6,35929,35929,35965,missing,42350,-,-,38740,-,-,37924,-,-,42582,-,-,38016,-,-,42284,-,-,41517,-,-,35370,58.259979248046875,-,41517,-,-,38848,-,-,35971,-,-,35929,-,-,35844,-,-
VFR600_60_7,35828,35828,35894,missing,42658,-,-,38752,-,-,37722,-,-,37625,-,-,38076,-,-,37544,-,-,41363,-,-,35500,117.98623657226562,-,41353,-,-,38517,-,-,36093,-,-,36017,-,-,36009,-,-
VFR600_60_8,35882,35882,35987,missing,41849,-,-,39099,-,-,38147,-,-,37998,-,-,38347,-,-,37756,-,-,41379,-,-,35368,28.913965225219727,-,41254,-,-,38558,-,-,36015,-,-,35978,-,-,35932,-,-
VFR600_60_9,35784,35784,35943,missing,42003,-,-,39162,-,-,38166,-,-,38078,-,-,38343,-,-,37675,-,-,40976,-,-,35466,118.1299057006836,-,40976,-,-,39184,-,-,36043,-,-,35980,-,-,35906,-,-
VFR600_60_10,35923,35935,35923,missing,42042,-,-,38556,-,-,37168,-,-,42562,-,-,37552,-,-,42804,-,-,41854,-,-,35366,14.478662490844727,-,41854,-,-,38297,-,-,36032,-,-,36026,-,-,35926,-,-
VFR700_20_1,36285,36354,36388,36285,37414,-,-,36419,-,-,36814,-,-,37544,-,-,36747,-,-,37474,-,-,40895,-,-,36759,-,-,40895,-,-,36294,-,-,36372,-,-,36354,-,-,36355,-,-
VFR700_20_2,36220,36376,36519,36220,37308,-,-,36330,-,-,36557,-,-,36786,-,-,36558,-,-,36800,-,-,40956,-,-,36721,-,-,40956,-,-,36226,-,-,36316,-,-,36316,-,-,36316,-,-
VFR700_20_3,36303,36303,36380,36419,37605,-,-,36485,-,-,36862,-,-,37663,-,-,36761,-,-,37673,-,-,40939,-,-,36829,-,-,40939,-,-,36534,-,-,36507,-,-,36521,-,-,36509,-,-
VFR700_20_4,36361,36487,36556,36361,37564,-,-,36363,-,-,36667,-,-,37448,-,-,36623,-,-,37267,-,-,40526,-,-,36782,-,-,40427,-,-,36361,16.310075759887695,18.827064514160156,36404,-,-,36413,-,-,36385,-,-
VFR700_20_5,36379,36379,36645,36496,37600,-,-,36621,-,-,36855,-,-,36904,-,-,36943,-,-,36980,-,-,41053,-,-,36867,-,-,41053,-,-,36496,-,125.75119018554688,36616,-,-,36594,-,-,36578,-,-
VFR700_20_6,36547,36547,36597,36556,37813,-,-,36615,-,-,36903,-,-,37736,-,-,36906,-,-,37569,-,-,41341,-,-,36899,-,-,41287,-,-,36556,-,91.74717712402344,36634,-,-,36628,-,-,36607,-,-
VFR700_20_7,36492,36610,36492,36540,37781,-,-,36656,-,-,36813,-,-,37491,-,-,36869,-,-,37463,-,-,41467,-,-,36901,-,-,41467,-,-,36540,-,54.397743225097656,36621,-,-,36617,-,-,36608,-,-
VFR700_20_8,36315,36609,36315,36418,37665,-,-,36554,-,-,36883,-,-,37398,-,-,36912,-,-,37161,-,-,41107,-,-,36775,-,-,40714,-,-,36418,-,58.7402229309082,36499,-,-,36481,-,-,36484,-,-
VFR700_20_9,36212,36481,36386,36212,37290,-,-,36329,-,-,36643,-,-,37670,-,-,36794,-,-,37445,-,-,40653,-,-,36576,-,-,40630,-,-,36215,-,-,36321,-,-,36310,-,-,36296,-,-
VFR700_20_10,36290,36290,36316,36362,37510,-,-,36637,-,-,36593,-,-,36741,-,-,36552,-,-,36740,-,-,40515,-,-,36800,-,-,40543,-,-,36362,-,64.49014282226562,36384,-,-,36384,-,-,36374,-,-
VFR700_40_1,38720,38720,38767,missing,43298,-,-,40525,-,-,39191,-,-,44225,-,-,39396,-,-,44151,-,-,44520,-,-,38501,6.935862064361572,-,44596,-,-,40141,-,-,38767,-,-,38748,-,-,38707,-,-
VFR700_40_2,38460,38647,38460,missing,43349,-,-,40099,-,-,39291,-,-,38743,-,-,39239,-,-,38733,-,-,44549,-,-,38246,6.919602870941162,-,44620,-,-,40378,-,-,38633,-,-,38580,-,-,38521,-,-
VFR700_40_3,38499,38499,38597,missing,43895,-,-,40577,-,-,39217,-,-,45485,-,-,39419,-,-,44277,-,-,44770,-,-,38127,3.360630512237549,-,44770,-,-,40543,-,-,38445,-,-,38452,-,-,38371,-,-
VFR700_40_4,38393,38393,38490,missing,42792,-,-,40518,-,-,38971,-,-,44944,-,-,39325,-,-,44733,-,-,44911,-,-,38386,446.183837890625,-,44903,-,-,40352,-,-,38695,-,-,38668,-,-,38611,-,-
VFR700_40_5,38440,38593,38440,missing,43599,-,-,40658,-,-,39206,-,-,40352,-,-,39093,-,-,39816,-,-,44364,-,-,38250,6.874228477478027,-,44291,-,-,39973,-,-,38490,-,-,38515,-,-,38449,-,-
VFR700_40_6,38355,38430,38355,missing,43130,-,-,39800,-,-,39579,-,-,45761,-,-,39812,-,-,44700,-,-,44562,-,-,38203,55.23754119873047,-,44205,-,-,39721,-,-,38440,-,-,38437,-,-,38388,-,-
VFR700_40_7,38336,38336,38817,missing,43540,-,-,40008,-,-,38952,-,-,45187,-,-,38836,-,-,43856,-,-,44598,-,-,38056,13.579117774963379,-,44598,-,-,40051,-,-,38390,-,-,38368,-,-,38312,-,-
VFR700_40_8,38287,38287,38569,missing,43839,-,-,40144,-,-,39497,-,-,44041,-,-,39538,-,-,45402,-,-,44744,-,-,38691,-,-,44837,-,-,40102,-,-,38852,-,-,38836,-,-,38773,-,-
VFR700_40_9,38712,38766,38712,missing,43594,-,-,40073,-,-,39296,-,-,40041,-,-,39246,-,-,40127,-,-,44449,-,-,38411,1.6209288835525513,-,44449,-,-,39661,-,-,38612,-,-,38565,-,-,38527,-,-
VFR700_40_10,38452,38452,38560,missing,43464,-,-,40426,-,-,40178,-,-,44763,-,-,40364,-,-,45103,-,-,44401,-,-,38564,-,-,44401,-,-,40012,-,-,38759,-,-,38735,-,-,38632,-,-
VFR700_60_1,41125,41125,41192,missing,47526,-,-,44433,-,-,43182,-,-,49233,-,-,42867,-,-,48080,-,-,47479,-,-,40438,39.30219650268555,-,47479,-,-,44623,-,-,41238,-,-,41233,-,-,41107,-,-
VFR700_60_2,41093,41093,41173,missing,47377,-,-,44293,-,-,43159,-,-,48520,-,-,43022,-,-,47505,-,-,47378,-,-,40588,39.335853576660156,-,47442,-,-,43069,-,-,41157,-,-,41090,-,-,41028,-,-
VFR700_60_3,41008,41008,41120,missing,47483,-,-,44309,-,-,42769,-,-,48389,-,-,42800,-,-,47470,-,-,47415,-,-,40450,20.017974853515625,-,47415,-,-,43595,-,-,41105,-,-,41084,-,-,41038,-,-
VFR700_60_4,40961,40961,41167,missing,47715,-,-,43901,-,-,42989,-,-,48169,-,-,42480,-,-,47731,-,-,47590,-,-,40472,84.79583740234375,-,47590,-,-,43830,-,-,41122,-,-,41086,-,-,41068,-,-
VFR700_60_5,41070,41070,41159,missing,47673,-,-,44453,-,-,43345,-,-,48324,-,-,43312,-,-,47641,-,-,47444,-,-,40367,40.195396423339844,-,47444,-,-,44522,-,-,41168,-,-,41128,-,-,41057,-,-
VFR700_60_6,40734,41022,40734,missing,47608,-,-,44385,-,-,42815,-,-,47331,-,-,42681,-,-,47887,-,-,47451,-,-,40396,78.91696166992188,-,47451,-,-,44039,-,-,41088,-,-,41010,-,-,40970,-,-
VFR700_60_7,40994,40994,41305,missing,47608,-,-,43675,-,-,42858,-,-,46171,-,-,42766,-,-,47771,-,-,47210,-,-,40028,9.84138011932373,-,47225,-,-,43977,-,-,40704,-,-,40652,-,-,40629,-,-
VFR700_60_8,40572,40572,41111,missing,47569,-,-,44575,-,-,43083,-,-,47374,-,-,43240,-,-,47790,-,-,47736,-,-,40650,-,-,47736,-,-,44205,-,-,41323,-,-,41249,-,-,41170,-,-
VFR700_60_9,41121,41121,41186,missing,47865,-,-,44184,-,-,42899,-,-,48530,-,-,42805,-,-,48448,-,-,47443,-,-,40367,10.143587112426758,-,47443,-,-,44611,-,-,41086,-,-,41036,-,-,40980,-,-
VFR700_60_10,40930,40930,41002,missing,47954,-,-,44180,-,-,42859,-,-,43418,-,-,42947,-,-,43156,-,-,47576,-,-,40480,79.809326171875,-,47569,-,-,43981,-,-,41204,-,-,41175,-,-,41100,-,-
VFR800_20_1,41413,41477,41479,41413,42765,-,-,41601,-,-,41702,-,-,41894,-,-,41735,-,-,41895,-,-,46299,-,-,41764,-,-,46299,-,-,41415,-,-,41503,-,-,41535,-,-,41501,-,-
VFR800_20_2,41282,41561,41399,41282,42475,-,-,41429,-,-,41602,-,-,42074,-,-,41612,-,-,41963,-,-,46331,-,-,41611,-,-,46331,-,-,41282,332.590087890625,467.3711242675781,41351,-,-,41351,-,-,41337,-,-
VFR800_20_3,41319,41337,41426,41319,42542,-,-,41366,-,-,41667,-,-,42535,-,-,41615,-,-,42243,-,-,46403,-,-,41577,-,-,46335,-,-,41319,133.96670532226562,134.6178741455078,41406,-,-,41389,-,-,41389,-,-
VFR800_20_4,41362,41362,41705,41375,42718,-,-,41617,-,-,41758,-,-,41901,-,-,41808,-,-,41915,-,-,46113,-,-,41892,-,-,46113,-,-,41433,-,-,41426,-,-,41426,-,-,41426,-,-
VFR800_20_5,41426,41426,41961,41626,42928,-,-,41757,-,-,42111,-,-,42980,-,-,42111,-,-,42852,-,-,46673,-,-,41939,-,-,45976,-,-,41626,-,113.0967025756836,41710,-,-,41710,-,-,41705,-,-
VFR800_20_6,41395,41702,41395,41919,42987,-,-,41919,-,19.603221893310547,42422,-,-,42925,-,-,42466,-,-,43151,-,-,46691,-,-,42334,-,-,46305,-,-,41919,-,42.394500732421875,41972,-,-,41953,-,-,41953,-,-
