instance,best_known,IGrms,VBIH,GmysBB,IBS_forward_bound_primal,IBS_forward_bound_time_to_best_known,IBS_forward_bound_time_opt,IBS_bi_min_bound_primal,IBS_bi_min_bound_time_to_best_known,IBS_bi_min_bound_time_opt,IBS_forward_idle_primal,IBS_forward_idle_time_to_best_known,IBS_forward_idle_time_opt,IBS_bi_min_idle_primal,IBS_bi_min_idle_time_to_best_known,IBS_bi_min_idle_time_opt,IBS_forward_alpha_primal,IBS_forward_alpha_time_to_best_known,IBS_forward_alpha_time_opt,IBS_bi_min_alpha_primal,IBS_bi_min_alpha_time_to_best_known,IBS_bi_min_alpha_time_opt,IBS_forward_walpha_primal,IBS_forward_walpha_time_to_best_known,IBS_forward_walpha_time_opt,IBS_bi_min_walpha_primal,IBS_bi_min_walpha_time_to_best_known,IBS_bi_min_walpha_time_opt,IBS_forward_gap_primal,IBS_forward_gap_time_to_best_known,IBS_forward_gap_time_opt,IBS_bi_min_gap_primal,IBS_bi_min_gap_time_to_best_known,IBS_bi_min_gap_time_opt,IGbob_30_primal,IGbob_30_time_to_best_known,IGbob_30_time_opt,IGbob_45_primal,IGbob_45_time_to_best_known,IGbob_45_time_opt,IGbob_90_primal,IGbob_90_time_to_best_known,IGbob_90_time_opt
VFR100_60_3,9403,9513,9403,missing,10773,-,-,9802,-,-,9722,-,-,10466,-,-,9720,-,-,10311,-,-,10908,-,-,9596,-,-,10908,-,-,9802,-,-,9363,-,-,9347,-,-,9315,-,-
VFR100_60_4,9316,9316,9431,missing,10996,-,-,9912,-,-,9815,-,-,10250,-,-,9761,-,-,10268,-,-,11079,-,-,9521,-,-,11079,-,-,9912,-,-,9417,-,-,9410,-,-,9394,-,-
VFR100_60_5,9366,9366,9630,missing,10725,-,-,9982,-,-,9808,-,-,9947,-,-,9831,-,-,9900,-,-,11057,-,-,9628,-,-,11133,-,-,9861,-,-,9446,-,-,9418,-,-,9422,-,-
VFR100_60_6,9346,9391,9346,missing,10953,-,-,10111,-,-,10006,-,-,10481,-,-,9999,-,-,10424,-,-,11246,-,-,9867,-,-,11246,-,-,10111,-,-,9665,-,-,9654,-,-,9642,-,-
VFR100_60_7,9523,9622,9523,missing,10893,-,-,9947,-,-,9731,-,-,10254,-,-,9734,-,-,10306,-,-,11036,-,-,9609,-,-,11028,-,-,9944,-,-,9374,-,-,9372,-,-,9367,-,-
VFR100_60_8,9326,9326,9488,missing,11147,-,-,10105,-,-,10018,-,-,10053,-,-,10018,-,-,10059,-,-,11131,-,-,9766,-,-,11131,-,-,10055,-,-,9554,-,-,9526,-,-,9530,-,-
VFR100_60_9,9507,9507,9572,missing,10776,-,-,10018,-,-,9858,-,-,10352,-,-,9853,-,-,10394,-,-,11081,-,-,9730,-,-,11081,-,-,10046,-,-,9519,-,-,9491,-,-,9502,-,-
VFR100_60_10,9480,9480,9567,missing,11000,-,-,10088,-,-,9869,-,-,10564,-,-,9878,-,-,10060,-,-,11103,-,-,9755,-,-,11103,-,-,10083,-,-,9590,-,-,9589,-,-,9555,-,-
VFR200_20_1,11181,11271,11272,11181,12358,-,-,11402,-,-,11434,-,-,11529,-,-,11406,-,-,11523,-,-,13474,-,-,11405,-,-,13474,-,-,11260,-,-,11316,-,-,11301,-,-,11289,-,-
VFR200_20_2,11254,11286,11294,11254,12230,-,-,11219,89.14936828613281,-,11764,-,-,12736,-,-,11798,-,-,12531,-,-,13488,-,-,11424,-,-,13488,-,-,11161,87.95098114013672,88.53244018554688,11245,-,-,11251,-,-,11227,-,-
VFR200_20_3,11188,11227,11188,11233,12579,-,-,11578,-,-,11458,-,-,12462,-,-,11452,-,-,12614,-,-,13411,-,-,11362,-,-,13380,-,-,11509,-,-,11332,-,-,11331,-,-,11311,-,-
VFR200_20_4,11090,11297,11143,11090,12169,-,-,11294,-,-,11352,-,-,13010,-,-,11356,-,-,12612,-,-,13348,-,-,11243,-,-,13348,-,-,11220,-,-,11206,-,-,11206,-,-,11193,-,-
VFR200_20_5,11076,11175,11310,11076,12202,-,-,11291,-,-,11405,-,-,11538,-,-,11355,-,-,11580,-,-,13369,-,-,11254,-,-,13369,-,-,11274,-,-,11183,-,-,11167,-,-,11168,-,-
VFR200_20_6,11152,11152,11365,11208,12501,-,-,11371,-,-,11558,-,-,12650,-,-,11519,-,-,12591,-,-,13592,-,-,11355,-,-,13592,-,-,11339,-,-,11345,-,-,11335,-,-,11321,-,-
VFR200_20_7,11128,11301,11128,11266,12289,-,-,11494,-,-,11485,-,-,12760,-,-,11485,-,-,12550,-,-,13588,-,-,11432,-,-,13588,-,-,11438,-,-,11382,-,-,11373,-,-,11364,-,-
VFR200_20_8,11041,11347,11091,11041,12126,-,-,11073,-,-,11570,-,-,12360,-,-,11362,-,-,12348,-,-,13147,-,-,11250,-,-,13089,-,-,11041,18.874221801757812,19.41384506225586,11130,-,-,11125,-,-,11118,-,-
VFR200_20_9,11008,11107,11294,11008,12064,-,-,11171,-,-,11612,-,-,13038,-,-,11578,-,-,12743,-,-,13236,-,-,11243,-,-,13236,-,-,11278,-,-,11115,-,-,11115,-,-,11085,-,-
VFR200_20_10,11069,11069,11240,11193,12345,-,-,11346,-,-,11475,-,-,12471,-,-,11603,-,-,12369,-,-,13518,-,-,11352,-,-,13518,-,-,11322,-,-,11302,-,-,11294,-,-,11276,-,-
VFR200_40_1,13077,13077,13124,missing,15526,-,-,13617,-,-,13675,-,-,15327,-,-,13623,-,-,15206,-,-,15688,-,-,13049,297.6994323730469,-,15688,-,-,13653,-,-,13168,-,-,13153,-,-,13125,-,-
VFR200_40_2,13134,13134,13222,missing,15399,-,-,13723,-,-,13507,-,-,13606,-,-,13441,-,-,13606,-,-,15561,-,-,12968,9.99184799194336,-,15561,-,-,13552,-,-,13096,-,-,13061,-,-,13072,-,-
VFR200_40_3,13027,13027,13163,missing,15522,-,-,13726,-,-,13630,-,-,15764,-,-,13552,-,-,15670,-,-,15637,-,-,13135,-,-,15637,-,-,13740,-,-,13272,-,-,13237,-,-,13201,-,-
