instance_class,IBS_forward_bound,IBS_forward_idle,IBS_forward_alpha,wilcoxon_best
20_5,0.2154094325075388,2.315910881097063,0.0,-
20_10,0.25728679086237477,0.9111216255915396,0.0,IBS_forward_alpha
20_20,0.19368902506968305,0.4805310675694484,0.0,-
50_5,1.5407388492503178,6.21031170316966,0.11256695665875605,IBS_forward_alpha
50_10,3.7306291526294175,2.8888370451654963,0.07339289488632615,IBS_forward_alpha
50_20,3.823287725266384,1.3475779651156585,0.12375030029021869,IBS_forward_alpha
100_5,3.761531199433373,8.757665307864631,-0.11269750058023195,IBS_forward_alpha
100_10,6.925951133422958,4.009327143556231,-0.3472361536629889,IBS_forward_alpha
100_20,7.6635653413989715,1.3197055858442464,-0.2902749749148653,IBS_forward_alpha
200_10,10.413819771781847,5.848483389125882,-0.37417041073856866,IBS_forward_alpha
200_20,12.59578943070517,1.3764573122691888,-0.7737476671260237,IBS_forward_alpha
500_20,18.157725694693674,2.755803086970766,-0.5239266999028521,IBS_forward_alpha
