instance_class,IBS_bi_min_walpha,IBS_bi_min_gap,IGbob_90,wilcoxon_best
20_5,0.0,0.0,0.0,-
20_10,0.0,0.0,0.0,-
20_20,0.28180991178370884,0.6443395445532849,0.0,IGbob_90
50_5,0.05886794512885609,0.0,0.0,-
50_10,0.6447762133303374,0.09023648185375463,0.2970570747761561,-
50_20,0.45424624173286093,2.5028024635704393,0.3310123197293592,-
100_5,0.07686334708487845,0.0,0.0,-
100_10,0.8616582484852995,0.0,0.0203373490286826,-
100_20,1.5206257446662295,1.1447953521229064,0.5446361436047515,-
200_10,1.7367362358395213,0.8704688989231043,0.030440057026556895,-
200_20,1.8085685469548565,0.59106046818096,0.5355632566697734,-
500_20,1.4343773675051703,0.058658933280753035,0.23760227236736103,IBS_bi_min_gap
