instance_class,IBS_bi_min_walpha,IBS_bi_min_gap
20_5,0.01,0.0,0.0
20_10,0.01,0.0,0.0
20_20,0.01,0.28180991178370884,0.6443395445532849
50_5,0.0,0.05886794512885609,0.0
50_10,0.25,0.6447762133303374,0.09023648185375463
50_20,0.34,0.45424624173286093,2.5028024635704393
100_5,0.0,0.07686334708487845,0.0
100_10,0.02,0.8616582484852995,0.0
100_20,0.44,1.5206257446662295,1.1447953521229064
200_10,0.03,1.7367362358395213,0.8704688989231043
200_20,0.51,1.8085685469548565,0.59106046818096
500_20,0.24,1.4343773675051703,0.058658933280753035
