instance_class,IBS_bi_min_walpha,IBS_bi_min_gap
20_5,0.02,0.0,0.0
20_10,0.01,0.0,0.03369272237196766
20_20,0.01,0.29526572702913556,0.6577296797834892
50_5,0.0,0.0772219577115394,0.0
50_10,0.28,0.887678356288147,0.10354677710625892
50_20,0.39,0.5166314491833787,2.8097794546343935
100_5,0.0,0.07686334708487845,0.0
100_10,0.03,1.074841461909596,0.0
100_20,0.52,1.5206257446662295,1.1511739201343878
200_10,0.03,1.9480118612640591,0.9367562657257054
200_20,0.57,1.845792494954286,0.70404482594042
500_20,0.26,1.472699279139773,0.08857643086234344
