instance,best_known,IBS_forward_bound_primal,IBS_forward_bound_time_to_best_known,IBS_forward_bound_time_opt,IBS_bi_min_bound_primal,IBS_bi_min_bound_time_to_best_known,IBS_bi_min_bound_time_opt,IBS_forward_idle_primal,IBS_forward_idle_time_to_best_known,IBS_forward_idle_time_opt,IBS_bi_min_idle_primal,IBS_bi_min_idle_time_to_best_known,IBS_bi_min_idle_time_opt,IBS_forward_alpha_primal,IBS_forward_alpha_time_to_best_known,IBS_forward_alpha_time_opt,IBS_bi_min_alpha_primal,IBS_bi_min_alpha_time_to_best_known,IBS_bi_min_alpha_time_opt,IBS_forward_walpha_primal,IBS_forward_walpha_time_to_best_known,IBS_forward_walpha_time_opt,IBS_bi_min_walpha_primal,IBS_bi_min_walpha_time_to_best_known,IBS_bi_min_walpha_time_opt,IBS_forward_gap_primal,IBS_forward_gap_time_to_best_known,IBS_forward_gap_time_opt,IBS_bi_min_gap_primal,IBS_bi_min_gap_time_to_best_known,IBS_bi_min_gap_time_opt,IGbob_30_primal,IGbob_30_time_to_best_known,IGbob_30_time_opt,IGbob_45_primal,IGbob_45_time_to_best_known,IGbob_45_time_opt,IGbob_90_primal,IGbob_90_time_to_best_known,IGbob_90_time_opt
TA200_10_9,10675,10857,-,-,10675,0.38118889927864075,0.38253673911094666,10727,-,-,10880,-,-,10733,-,-,10883,-,-,11943,-,-,10817,-,-,11568,-,-,10675,14.409855842590332,14.416342735290527,10676,-,-,10676,-,-,10676,-,-
TA200_20_0,11195,12276,-,-,11276,-,-,11414,-,-,12379,-,-,11389,-,-,12283,-,-,13321,-,-,11481,-,-,13341,-,-,11187,90.38304138183594,180.00369262695312,11254,-,-,11224,-,-,11224,-,-
TA200_20_1,11203,12453,-,-,11470,-,-,11514,-,-,11623,-,-,11636,-,-,11587,-,-,13461,-,-,11462,-,-,13461,-,-,11461,-,-,11249,-,-,11274,-,-,11251,-,-
TA200_20_2,11281,12219,-,-,11380,-,-,11508,-,-,12049,-,-,11529,-,-,11902,-,-,13147,-,-,11400,-,-,13147,-,-,11281,36.932491302490234,38.192420959472656,11390,-,-,11390,-,-,11390,-,-
TA200_20_3,11275,12340,-,-,11326,-,-,11530,-,-,12442,-,-,11602,-,-,12334,-,-,13440,-,-,11559,-,-,13423,-,-,11275,19.99936294555664,20.055789947509766,11343,-,-,11336,-,-,11311,-,-
TA200_20_4,11259,12303,-,-,11313,-,-,11458,-,-,12239,-,-,11469,-,-,12576,-,-,13188,-,-,11448,-,-,13188,-,-,11259,0.743560791015625,0.7598828673362732,11289,-,-,11289,-,-,11285,-,-
TA200_20_5,11176,12233,-,-,11235,-,-,11417,-,-,11813,-,-,11431,-,-,11798,-,-,13237,-,-,11356,-,-,13237,-,-,11176,10.504069328308105,10.51020336151123,11228,-,-,11235,-,-,11224,-,-
TA200_20_6,11360,12504,-,-,11524,-,-,11692,-,-,12002,-,-,11677,-,-,11986,-,-,13399,-,-,11540,-,-,13387,-,-,11337,172.74484252929688,173.42320251464844,11420,-,-,11401,-,-,11410,-,-
TA200_20_7,11334,12385,-,-,11534,-,-,11627,-,-,11934,-,-,11664,-,-,11882,-,-,13364,-,-,11474,-,-,13364,-,-,11449,-,-,11390,-,-,11390,-,-,11371,-,-
TA200_20_8,11192,12371,-,-,11396,-,-,11457,-,-,11587,-,-,11400,-,-,11602,-,-,13340,-,-,11441,-,-,13313,-,-,11375,-,-,11241,-,-,11241,-,-,11217,-,-
TA200_20_9,11284,12298,-,-,11380,-,-,11525,-,-,13259,-,-,11607,-,-,12871,-,-,13312,-,-,11432,-,-,13312,-,-,11423,-,-,11339,-,-,11328,-,-,11336,-,-
TA500_20_0,26040,27070,-,-,26298,-,-,26473,-,-,27327,-,-,26619,-,-,27282,-,-,29707,-,-,26222,-,-,29758,-,-,26040,64.15120697021484,64.47258758544922,26119,-,-,26117,-,-,26108,-,-
TA500_20_1,26520,27767,-,-,26675,-,-,27024,-,-,27402,-,-,26970,-,-,27189,-,-,30155,-,-,26980,-,-,30155,-,-,26500,126.08118438720703,126.14119720458984,26629,-,-,26629,-,-,26603,-,-
TA500_20_2,26371,27603,-,-,26583,-,-,26878,-,-,27339,-,-,26864,-,-,27439,-,-,30273,-,-,26881,-,-,30188,-,-,26378,-,-,26435,-,-,26435,-,-,26435,-,-
TA500_20_3,26456,27393,-,-,26656,-,-,27043,-,-,28560,-,-,27086,-,-,29214,-,-,30153,-,-,26745,-,-,30114,-,-,26456,260.05438232421875,260.07769775390625,26525,-,-,26525,-,-,26516,-,-
TA500_20_4,26334,27493,-,-,26395,-,-,26568,-,-,27520,-,-,26621,-,-,27634,-,-,29954,-,-,26602,-,-,30062,-,-,26334,64.37379455566406,64.7707290649414,26383,-,-,26354,-,-,26377,-,-
TA500_20_5,26477,27640,-,-,26481,-,-,26757,-,-,27130,-,-,26719,-,-,27154,-,-,30461,-,-,26985,-,-,30544,-,-,26479,-,-,26543,-,-,26543,-,-,26499,-,-
TA500_20_6,26389,27366,-,-,26514,-,-,26761,-,-,27843,-,-,26791,-,-,27968,-,-,29819,-,-,26809,-,-,29819,-,-,26438,-,-,26412,-,-,26412,-,-,26412,-,-
TA500_20_7,26560,27582,-,-,26580,-,-,26983,-,-,27303,-,-,26916,-,-,27270,-,-,30447,-,-,26902,-,-,30447,-,-,26560,3.157418966293335,3.172013998031616,26615,-,-,26615,-,-,26615,-,-
TA500_20_8,26005,26818,-,-,26165,-,-,26439,-,-,26798,-,-,26391,-,-,26867,-,-,29661,-,-,26512,-,-,29661,-,-,26120,-,-,26064,-,-,26053,-,-,26051,-,-
TA500_20_9,26457,27344,-,-,26465,-,-,26890,-,-,28419,-,-,26913,-,-,27659,-,-,29988,-,-,26753,-,-,30041,-,-,26457,4.359901428222656,4.398602485656738,26513,-,-,26533,-,-,26507,-,-
