instance_class,IBS_forward_bound,IBS_bi_min_bound,IBS_forward_idle,IBS_bi_min_idle,IBS_forward_alpha,IBS_bi_min_alpha,IBS_forward_walpha,IBS_bi_min_walpha,IBS_forward_gap,IBS_bi_min_gap,IGbob_30,IGbob_45,IGbob_90,wilcoxon_best
20_5,1.920797426865445,0.0,1.4466845716965921,0.0,1.3069702116745063,0.0,1.1255537971546599,0.0,1.5251573728381418,0.0,0.0,0.0,0.0,-
20_10,2.120464314081553,0.0,0.5167380830846471,0.2695417789757413,0.5952958890193163,0.2695417789757413,0.0985202326578375,0.0,2.0781810159843017,0.0,0.0032509752925877766,0.0,0.0,-
20_20,3.4662477703847543,0.6748389885336376,0.7970647397147543,2.0367286246561997,0.853308495324512,2.018868441848511,0.9273383079986083,0.28180991178370884,3.7854718462825225,0.6443395445532849,0.0,0.0,0.0,-
50_5,0.5449935421200427,0.0,0.8619236078670506,0.0,0.9698808087928594,0.0,2.0021694869620776,0.05886794512885609,1.472907526855759,0.0,0.0,0.0,0.0,-
50_10,5.603602899316429,0.08674851533823316,3.4008245901638077,4.42333201886601,3.3461351338021266,3.48670322910316,2.609249289740311,0.6447762133303374,4.377414843334281,0.09023648185375463,0.3442574292292977,0.3221268110263299,0.2970570747761561,-
50_20,9.788798554822911,2.5405407858728495,2.3192606960087874,7.137955143261728,2.429960544101563,7.358142657560516,2.250524436873866,0.45424624173286093,9.589562743691213,2.5028024635704393,0.46128070431410384,0.429348819221339,0.3310123197293592,-
100_5,0.35725981775059673,0.0,0.2579286545340159,0.09371372947733991,0.28559723544433446,0.0955191911341863,0.9896757728949108,0.07686334708487845,1.0186342100123145,0.0,0.0,0.0,0.0,-
100_10,2.786097786000666,0.0,1.3217261825682656,2.4198834605618442,1.3817167189035469,1.9667480806861328,1.5521224844026293,0.8616582484852995,1.8959751570892738,0.0,0.03299225288403592,0.024074948249233445,0.0203373490286826,-
100_20,11.678657402550215,1.9679356199517497,3.2892704375004262,8.652012613705203,2.9256293435303475,8.61690566486621,2.288357419159581,1.5206257446662295,10.01409217598464,1.1447953521229064,0.6295391562355528,0.5837283568889273,0.5446361436047515,-
200_10,1.883871690713097,0.0,1.0713699595973882,1.4203142566543037,1.1297628798239256,1.3820899180934405,1.662963359531437,1.7367362358395213,1.220113469533318,0.8704688989231043,0.03176412799651191,0.030043948599467508,0.030440057026556895,-
200_20,9.616860445057558,1.132602740669954,2.294123525011547,7.786442700808211,2.526642742378742,7.337944201768886,2.0357415425358174,1.8085685469548565,3.5811010960024143,0.59106046818096,0.6733020048035308,0.6445738931553192,0.5355632566697734,-
500_20,3.96938625150565,0.45763681522994054,1.5958556926067655,4.563422097916388,1.62465765564312,4.577520421299588,1.6880834313666313,1.4343773675051703,1.8655477709421517,0.058658933280753035,0.274143911745949,0.2695818949943421,0.23760227236736103,IBS_bi_min_gap
