instance,best_igrms,best_VBIH
 VFR600_20_9_Gap,31514,31397
 VFR600_40_1_Gap,33618,33683
 VFR600_40_10_Gap,33396,33713
 VFR600_40_2_Gap,33356,33584
 VFR600_40_3_Gap,33612,33401
 VFR600_40_4_Gap,33477,33626
 VFR600_40_5_Gap,33307,33545
 VFR600_40_6_Gap,33552,33298
 VFR600_40_7_Gap,33492,33567
 VFR600_40_8_Gap,33282,33473
 VFR600_40_9_Gap,33422,33405
 VFR600_60_1_Gap,35863,35976
 VFR600_60_10_Gap,35804,35917
 VFR600_60_2_Gap,35791,36000
 VFR600_60_3_Gap,35896,36004
 VFR600_60_4_Gap,35883,35943
 VFR600_60_5_Gap,35929,35965
 VFR600_60_6_Gap,35828,35894
 VFR600_60_7_Gap,35882,35987
 VFR600_60_8_Gap,35784,35943
 VFR600_60_9_Gap,35935,35923
 VFR700_20_1_Gap,36354,36388
 VFR700_20_10_Gap,36376,36519
 VFR700_20_2_Gap,36303,36380
 VFR700_20_3_Gap,36487,36556
 VFR700_20_4_Gap,36379,36645
 VFR700_20_5_Gap,36547,36597
 VFR700_20_6_Gap,36610,36492
 VFR700_20_7_Gap,36609,36315
 VFR700_20_8_Gap,36481,36386
 VFR700_20_9_Gap,36290,36316
 VFR700_40_1_Gap,38720,38767
 VFR700_40_10_Gap,38647,38460
 VFR700_40_2_Gap,38499,38597
 VFR700_40_3_Gap,38393,38490
 VFR700_40_4_Gap,38593,38440
 VFR700_40_5_Gap,38430,38355
 VFR700_40_6_Gap,38336,38817
 VFR700_40_7_Gap,38287,38569
 VFR700_40_8_Gap,38766,38712
 VFR700_40_9_Gap,38452,38560
 VFR700_60_1_Gap,41125,41192
 VFR700_60_10_Gap,41093,41173
 VFR700_60_2_Gap,41008,41120
 VFR700_60_3_Gap,40961,41167
 VFR700_60_4_Gap,41070,41159
 VFR700_60_5_Gap,41022,40734
 VFR700_60_6_Gap,40994,41305
 VFR700_60_7_Gap,40572,41111
 VFR700_60_8_Gap,41121,41186
 VFR700_60_9_Gap,40930,41002
 VFR800_20_1_Gap,41477,41479
 VFR800_20_10_Gap,41561,41399
 VFR800_20_2_Gap,41337,41426
 VFR800_20_3_Gap,41362,41705
 VFR800_20_4_Gap,41426,41961
 VFR800_20_5_Gap,41702,41395
 VFR800_20_6_Gap,41959,41435
 VFR800_20_7_Gap,41379,41783
 VFR800_20_8_Gap,41429,41568
 VFR800_20_9_Gap,41753,41345
 VFR800_40_1_Gap,43456,43466
 VFR800_40_10_Gap,43592,43596
 VFR800_40_2_Gap,43483,43743
 VFR800_40_3_Gap,43512,43794
 VFR800_40_4_Gap,43557,43638
 VFR800_40_5_Gap,43635,43484
 VFR800_40_6_Gap,43549,43666
 VFR800_40_7_Gap,43458,43643
 VFR800_40_8_Gap,43548,43630
 VFR800_40_9_Gap,43497,43575
 VFR800_60_1_Gap,46130,46279
 VFR800_60_10_Gap,46004,46258
 VFR800_60_2_Gap,46164,46261
 VFR800_60_3_Gap,46108,46164
 VFR800_60_4_Gap,46035,46288
 VFR800_60_5_Gap,46101,46061
 VFR800_60_6_Gap,46110,46257
 VFR800_60_7_Gap,45986,46279
 VFR800_60_8_Gap,46136,46211
 VFR800_60_9_Gap,46226,46232
