instance_class,IGA60,IGA120,IGA240
20_5,0.15,0.15,0.15
20_10,0.0002,0,0
20_20,0,0,0
50_5,0.64,0.54,0.48
50_10,1.1,1.04,0.99
50_20,0.72,0.66,0.61
100_5,1.17,1.08,0.99
100_10,1.49,1.37,1.29
100_20,1.54,1.4,1.3
200_10,1.27,1.17,1.09
200_20,1.09,0.92,0.8
500_20,0.49,0.42,0.36
