instance_class,IGirms60,IGirms120,IGirms240
20_5,0.03,0.02,0.01
20_10,0.01,0.01,0.01
20_20,0.01,0.01,0.01
50_5,0,0,0
50_10,0.3,0.28,0.25
50_20,0.47,0.39,0.34
100_5,0,0,0
100_10,0.03,0.03,0.02
100_20,0.62,0.52,0.44
200_10,0.03,0.03,0.03
200_20,0.66,0.57,0.51
500_20,0.29,0.26,0.24
