instance,best_known,IGrms,VBIH,GmysBB,IGbob_90_primal,IGbob_90_time_to_best_known,IGbob_90_time_to_improve,IGbob_90_time_opt,IBS_bi_min_walpha_primal,IBS_bi_min_walpha_time_to_best_known,IBS_bi_min_walpha_time_to_improve,IBS_bi_min_walpha_time_opt,IBS_bi_min_gap_primal,IBS_bi_min_gap_time_to_best_known,IBS_bi_min_gap_time_to_improve,IBS_bi_min_gap_time_opt
VFR200_60_5,14918,14918,14996,missing,15028,-,-,15249,-,-,-,16138,-,-,-
VFR200_60_6,15006,15020,15006,missing,14948,-,-,14951,412.3055114746094,412.3055114746094,-,15939,-,-,-
VFR200_60_7,14894,14909,14894,missing,14982,-,-,15063,-,-,-,16094,-,-,-
VFR200_60_8,14925,14956,14925,missing,14901,-,-,15094,-,-,-,15831,-,-,-
VFR200_60_9,14852,14852,14908,missing,14926,-,-,15026,-,-,-,15908,-,-,-
VFR200_60_10,14867,14867,14909,missing,14908,-,-,15122,-,-,-,15777,-,-,-
VFR300_20_1,15996,16092,16089,15996,16097,-,-,16230,-,-,-,16153,-,-,-
VFR300_20_2,16129,16794,16129,16409,16491,-,-,16641,-,-,-,16470,-,-,-
VFR300_20_3,16010,16465,16168,16010,16136,-,-,16336,-,-,-,16136,-,-,-
VFR300_20_4,16052,16115,16307,16052,16167,-,-,16307,-,-,-,16052,92.02153778076172,-,92.77474975585938
VFR300_20_5,16095,16125,16095,21399,16320,-,-,16520,-,-,-,16278,-,-,-
VFR300_20_6,16021,16293,16244,16021,16086,-,-,16271,-,-,-,16021,45.445404052734375,-,46.23301696777344
VFR300_20_7,16062,16062,16369,16188,16224,-,-,16343,-,-,-,16188,-,-,162.47308349609375
VFR300_20_8,16228,16228,16324,16287,16372,-,-,16498,-,-,-,16407,-,-,-
VFR300_20_9,16203,16363,16798,16203,16339,-,-,16489,-,-,-,16347,-,-,-
VFR300_20_10,16298,16298,16483,16780,16794,-,-,17063,-,-,-,16780,-,-,36.18042755126953
VFR300_40_1,18127,18127,18199,missing,18124,-,-,18009,41.013526916503906,41.013526916503906,-,19157,-,-,-
VFR300_40_2,18253,18253,18348,missing,18360,-,-,18175,20.504234313964844,20.504234313964844,-,19199,-,-,-
VFR300_40_3,18227,18341,18227,missing,18342,-,-,18201,330.1458740234375,330.1458740234375,-,19176,-,-,-
VFR300_40_4,18276,18276,18343,missing,18240,-,-,18095,10.714141845703125,10.714141845703125,-,19146,-,-,-
VFR300_40_5,18181,18181,18340,missing,18357,-,-,18127,165.0755157470703,165.0755157470703,-,19124,-,-,-
VFR300_40_6,18320,18320,18396,missing,18336,-,-,18157,10.266036033630371,10.266036033630371,-,19323,-,-,-
VFR300_40_7,18250,18250,18290,missing,18306,-,-,18171,81.82411193847656,81.82411193847656,-,19204,-,-,-
VFR300_40_8,18261,18283,18261,missing,18209,-,-,18119,10.181962966918945,10.181962966918945,-,19148,-,-,-
VFR300_40_9,18238,18238,18286,missing,18274,-,-,18073,10.125412940979004,10.125412940979004,-,19323,-,-,-
VFR300_40_10,18226,18226,18373,missing,18240,-,-,18107,40.761817932128906,40.761817932128906,-,19023,-,-,-
VFR300_60_1,20397,20397,20483,missing,20417,-,-,20409,-,-,-,21826,-,-,-
VFR300_60_2,20290,20290,20328,missing,20249,-,-,20193,469.8880920410156,469.8880920410156,-,21667,-,-,-
VFR300_60_3,20224,20224,20293,missing,20305,-,-,20468,-,-,-,21751,-,-,-
VFR300_60_4,20200,20244,20200,missing,20311,-,-,20309,-,-,-,21538,-,-,-
VFR300_60_5,20235,20235,20280,missing,20183,-,-,20176,121.0548095703125,240.90029907226562,-,21624,-,-,-
VFR300_60_6,20156,20156,20358,missing,20272,-,-,20244,-,-,-,21600,-,-,-
VFR300_60_7,20180,20180,20319,missing,20351,-,-,20414,-,-,-,21754,-,-,-
VFR300_60_8,20285,20285,20405,missing,20314,-,-,20490,-,-,-,21959,-,-,-
VFR300_60_9,20291,20291,20385,missing,20397,-,-,20339,-,-,-,21715,-,-,-
VFR300_60_10,20249,20326,20249,missing,20355,-,-,20407,-,-,-,22067,-,-,-
VFR400_20_1,20952,21027,21042,20952,21054,-,-,21167,-,-,-,20994,-,-,-
VFR400_20_2,21346,21524,21428,21346,21429,-,-,21578,-,-,-,21375,-,-,-
VFR400_20_3,21237,21411,21237,21379,21426,-,-,21668,-,-,-,21379,-,-,153.43115234375
VFR400_20_4,21125,21426,21528,21125,21247,-,-,21482,-,-,-,21167,-,-,-
VFR400_20_5,16245,21231,21188,16245,21513,-,-,21671,-,-,-,21413,-,-,-
VFR400_20_6,21075,21497,21599,21075,21183,-,-,21274,-,-,-,21168,-,-,-
VFR400_20_7,21165,21165,21264,21507,21606,-,-,21832,-,-,-,21507,-,-,301.0576171875
VFR400_20_8,21198,21580,21293,21198,21258,-,-,21441,-,-,-,21202,-,-,-
VFR400_20_9,21236,21264,21526,21236,21297,-,-,21460,-,-,-,21379,-,-,-
VFR400_20_10,21301,21301,21411,21456,21527,-,-,21618,-,-,-,21456,-,-,32.01063537597656
VFR400_40_1,23362,23362,23393,missing,23380,-,-,23085,8.997663497924805,8.997663497924805,-,24464,-,-,-
VFR400_40_2,23467,23504,23467,missing,23293,-,-,23004,1.502175211906433,1.502175211906433,-,24523,-,-,-
VFR400_40_3,23257,23257,23269,missing,23439,-,-,23200,145.3040008544922,145.3040008544922,-,24538,-,-,-
VFR400_40_4,23213,23405,23213,missing,23255,-,-,22893,2.7043378353118896,2.7043378353118896,-,24762,-,-,-
VFR400_40_5,23220,23220,23298,missing,23166,-,-,22901,2.2779834270477295,2.2779834270477295,-,24563,-,-,-
VFR400_40_6,23141,23141,23415,missing,23305,-,-,23034,71.52127075195312,71.52127075195312,-,24456,-,-,-
VFR400_40_7,23290,23292,23290,missing,23391,-,-,23157,17.935285568237305,17.935285568237305,-,24672,-,-,-
VFR400_40_8,23364,23364,23424,missing,23243,-,-,23012,2.233031988143921,2.233031988143921,-,24207,-,-,-
VFR400_40_9,23266,23266,23606,missing,23492,-,-,23265,292.2590637207031,581.7388305664062,-,24507,-,-,-
VFR400_40_10,23380,23457,23380,missing,23578,-,-,23278,72.1016616821289,72.1016616821289,-,24597,-,-,-
VFR400_60_1,25392,25392,25395,missing,25458,-,-,25214,51.26148986816406,51.26148986816406,-,27437,-,-,-
VFR400_60_2,25618,25618,25707,missing,25533,-,-,25436,210.5045166015625,210.5045166015625,-,27475,-,-,-
VFR400_60_3,25498,25498,25638,missing,25626,-,-,25516,-,-,-,27751,-,-,-
VFR400_60_4,25590,25590,25669,missing,25683,-,-,25554,835.98681640625,835.98681640625,-,27361,-,-,-
VFR400_60_5,25407,25608,25407,missing,25636,-,-,25587,-,-,-,27565,-,-,-
