instance_class,time,ARPD
20_5,4.5,
20_10,9,
20_20,18,
50_5,11.25,
50_10,22.5,
50_20,45,
100_5,22.5,
100_10,45,
100_20,90,
200_10,90,
200_20,180,
500_20,450,
